episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/learner_stats/loss,info/learner/default_policy/learner_stats/grad_norm,info/learner/default_policy/learner_stats/td_error_abs,info/learner/default_policy/learner_stats/q_taken_mean,info/learner/default_policy/learner_stats/target_mean
-746.017245135621,-802.9727210191463,-768.6813959164494,960.0,5,5,4800,0,4800,False,5,1,270be_00000,fbe151818cbd45feb5899cb4e79ae007,2023-12-18_17-04-14,1702897454,11.39298129081726,11.39298129081726,73840,HPC005,10.33.1.26,11.39298129081726,0,1,"[-802.9727210191463, -753.543516778767, -746.017245135621, -757.7462774083086, -783.1272192404044]","[960, 960, 960, 960, 960]",0.17408148679227162,0.9546858959217843,0.10948786502326066,0.5506424204243829,0.0,2600.764,0.769,6.591,4800,4800,2,9600,4800,1,30.706249999999997,21.481250000000003,0.03,0.016520182291666668,1.0009256601333618,1.9868111610412598,0.903768798828125,-0.0009189554850260416,0.005946294784545898
-681.9088772196487,-802.9727210191463,-735.8141950941874,960.0,5,5,9600,0,9600,False,10,2,270be_00000,fbe151818cbd45feb5899cb4e79ae007,2023-12-18_17-04-26,1702897466,11.622701644897461,23.01568293571472,73840,HPC005,10.33.1.26,23.01568293571472,0,2,"[-802.9727210191463, -753.543516778767, -746.017245135621, -757.7462774083086, -783.1272192404044, -681.9088772196487, -694.1481115006666, -699.739835278942, -729.2490416382374, -709.6891057221331]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.17474407887369572,0.9592566595127154,0.10987979894189406,0.5520986578784371,0.0,2592.101,0.772,6.85,9600,9600,4,19200,9600,2,30.026666666666664,25.74666666666667,0.004,0.016520182291666664,0.8411884903907776,2.7841734886169434,0.82319287109375,-0.03721422576904297,0.2912909952799479
-616.4059328754852,-802.9727210191463,-707.9373237018997,960.0,5,5,14400,0,14400,False,15,3,270be_00000,fbe151818cbd45feb5899cb4e79ae007,2023-12-18_17-04-37,1702897477,11.511236667633057,34.52691960334778,73840,HPC005,10.33.1.26,34.52691960334778,0,3,"[-802.9727210191463, -753.543516778767, -746.017245135621, -757.7462774083086, -783.1272192404044, -681.9088772196487, -694.1481115006666, -699.739835278942, -729.2490416382374, -709.6891057221331, -654.8737492995184, -656.6824650972253, -616.4059328754852, -687.7477410095412, -645.208016304851]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.1751559385667016,0.9616396629808394,0.1100579219694327,0.5538691580559285,0.0,2563.443,0.78,7.509,14400,14400,6,28800,14400,3,30.21333333333333,26.766666666666666,0.008666666666666666,0.016520182291666664,2.3255698680877686,11.599440574645996,1.2338395182291666,0.352575439453125,1.5766979166666666
-533.2928771303183,-802.9727210191463,-667.3173305768331,960.0,5,5,19200,0,19200,False,20,4,270be_00000,fbe151818cbd45feb5899cb4e79ae007,2023-12-18_17-04-49,1702897489,11.578570127487183,46.10548973083496,73840,HPC005,10.33.1.26,46.10548973083496,0,4,"[-802.9727210191463, -753.543516778767, -746.017245135621, -757.7462774083086, -783.1272192404044, -681.9088772196487, -694.1481115006666, -699.739835278942, -729.2490416382374, -709.6891057221331, -654.8737492995184, -656.6824650972253, -616.4059328754852, -687.7477410095412, -645.208016304851, -560.3770044630137, -538.7542790235093, -533.2928771303183, -535.5982737933155, -559.2643215980097]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.17547361515872711,0.9629438347141998,0.11019321218248457,0.5560545567538459,0.0,2560.176,0.781,7.427,19200,19200,8,38400,19200,4,30.459999999999997,27.69333333333333,0.004666666666666667,0.016520182291666664,0.9841883778572083,5.982588768005371,0.8261886393229166,1.112619384765625,1.6974088541666668
