[-0.0022713575, -0.0041692848317325115, 0, 0, -0.0040338356]
[-0.0017061731, -0.0044524474, -0.0031347168, 0, -0.0025653488]
[-0.0043157036, -0.0035279365, -0.00116011, -0.004145135, 0]
[0, -0.0025153651, -0.0026372573, 0, -0.0012408943]
[-0.002782157, 0, -0.003915788605809212, -0.0028099278, -0.0028382930904626846]
[0, -0.0039765662513673306, -0.0041443245, 0, 0]
[0, -0.0021417774, -0.0021604127, -0.0020395957, 0]
[-0.0010096211, 0, -0.0041811224, -0.0022593371104449034, 0]
[-0.0029461468, 0, 0, -0.0023691684, -0.0034404974430799484]
[0, 0, -0.0021474012, 0, -0.0025807188]
[-0.002639577, -0.0040723938, -0.0036087707, -0.0035776044, 0]
[-0.0036200036, -0.0022840505, 0, 0, 0]
[0, 0, 0, 0, -0.0013424658]
[0, -0.0031257814, 0, -0.004141025, -0.004432240966707468]
[0, 0, -0.002955263, 0, 0]
[-0.002069839, -0.0030455736, -0.0025297059, 0, -0.0018460301]
[-0.0016527608968317509, -0.0040196674, -0.0023930853, 0, 0]
[0, 0, 0, -0.0012358195, -0.0041471412]
[-0.0010162677, 0, 0, -0.0027609686, 0]
[0, 0, 0, -0.0019140952499583364, -0.0018383841]
[-0.0019149865, -0.0026632103, -0.002812344, -0.0037590798, 0]
[-0.0013941476, -0.004154845, -0.0042843265, 0, 0]
[0, -0.0036233407, -0.002156871, -0.0018393677, 0]
[0, 0, -0.0032595359, -0.0023098066, 0]
[0, 0, -0.002284067, -0.0016533526, 0]
[-0.0038582464, 0, 0, 0, -0.0026743629]
[0, -0.0037524335, 0, 0, -0.0023803029]
[-0.0010240258, -0.0037359777, 0, -0.0032237067, -0.004011163]
[0, 0, -0.0036748743150383234, -0.0034928685, 0]
[0, 0, -0.0034709962, 0, -0.004191777]
[-0.0030938054, 0, 0, -0.0034335577, 0]
[0, -0.004222902, 0, 0, -0.00394707]
[0, 0, 0, 0, 0]
[0, 0, -0.0025599464, 0, -0.0033433442004024982]
[-0.00269961, 0, 0, -0.0026277206, -0.0037191529]
[0, 0, 0, 0, 0]
[0, 0, 0, 0, 0]
[0, -0.0023216843, 0, 0, 0]
[-0.0036183244, 0, 0, 0, 0]
[0, 0, 0, -0.004202642012387514, 0]
[0, -0.0025340975, -0.004079285, 0, 0]
[0, 0, 0, 0, -0.0014329279]
[0, 0, 0, 0, -0.0026258163]
[0, 0, 0, -0.00215485, -0.004127865]
[-0.003548038, 0, 0, 0, 0]
[0, 0, -0.0043754964, 0, 0]
[-0.004399624, -0.0029033825, 0, -0.0021923971, -0.004048776]
[0, -0.0037004349287599325, 0, -0.0012623757, -0.0021724813]
