episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-751.3537274334627,-790.8546845165185,-773.4684668742917,960.0,5,5,24000,0,24000,False,5,1,55281_00000,429bd7ce5d8e48efa284c33558bb1bb5,2024-02-24_14-11-53,1708762313,15.22306227684021,15.22306227684021,7260,HPC005,10.33.1.26,15.22306227684021,0,1,"[-783.0249666803734, -778.77913514223, -763.3298205988739, -751.3537274334627, -790.8546845165185]","[960, 960, 960, 960, 960]",0.30233847611156384,1.1370167151698212,0.08273913634555272,0.5430858167475641,0.0,9981.747,2404.389,0.564,42545771.767,5248.117,4573.068,7.557,24000,24000,24000,24000,30.800000000000004,7.985714285714285,0.05428571428571429,0.02985684833829366,0.0,0.2,0.0005000000000000001,53.04231190443039,-0.00331258467088143,53.0657096250852,-0.00010592242081960042,0.008979480046064713,2.188078102270762,0.01
-689.3216407162945,-790.8546845165185,-741.6568583923399,960.0,5,5,48000,0,48000,False,10,2,55281_00000,429bd7ce5d8e48efa284c33558bb1bb5,2024-02-24_14-12-08,1708762328,15.355684757232666,30.578747034072876,7260,HPC005,10.33.1.26,30.578747034072876,0,2,"[-783.0249666803734, -778.77913514223, -763.3298205988739, -751.3537274334627, -790.8546845165185, -696.8117950131059, -709.488496824898, -703.8786118908343, -749.7257051068085, -689.3216407162945]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.30402549541352075,1.1404961491080075,0.08317366587808324,0.5430693264609803,0.0,12664.628,1895.042,0.387,62042093.066,5265.715,4557.786,7.697,48000,48000,48000,48000,30.17142857142857,8.05238095238095,0.027619047619047623,0.02962239583333334,0.0,0.2,0.0005000000000000001,10.400789923369885,-0.004753433828785395,10.424706869026025,-0.0002135533094406128,0.012253759417569681,2.1614240916570027,0.01
-604.4633778395628,-790.8546845165185,-699.7260996136283,960.0,5,5,72000,0,72000,False,15,3,55281_00000,429bd7ce5d8e48efa284c33558bb1bb5,2024-02-24_14-12-24,1708762344,15.322200059890747,45.90094709396362,7260,HPC005,10.33.1.26,45.90094709396362,0,3,"[-783.0249666803734, -778.77913514223, -763.3298205988739, -751.3537274334627, -790.8546845165185, -696.8117950131059, -709.488496824898, -703.8786118908343, -749.7257051068085, -689.3216407162945, -616.6060945467784, -619.6559051471822, -604.4633778395628, -620.2164469918982, -618.3810857556035]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.3046689693739612,1.1417990030356076,0.08340172630057369,0.5432617329627445,0.0,13559.919,1769.922,0.331,72593723.077,5270.179,4553.925,7.615,72000,72000,72000,72000,29.97619047619049,8.085714285714285,0.03285714285714286,0.02962239583333334,0.0,0.2,0.0005000000000000001,7.550871778329213,-0.0052140729874372484,7.5749187690516315,-0.000606649915377299,0.011506747764045516,2.1134259605407717,0.01
-502.582006326159,-790.8546845165185,-655.8297110493625,960.0,5,5,96000,0,96000,True,20,4,55281_00000,429bd7ce5d8e48efa284c33558bb1bb5,2024-02-24_14-12-39,1708762359,15.2269127368927,61.12785983085632,7260,HPC005,10.33.1.26,61.12785983085632,0,4,"[-783.0249666803734, -778.77913514223, -763.3298205988739, -751.3537274334627, -790.8546845165185, -696.8117950131059, -709.488496824898, -703.8786118908343, -749.7257051068085, -689.3216407162945, -616.6060945467784, -619.6559051471822, -604.4633778395628, -620.2164469918982, -618.3810857556035, -507.5729988228502, -509.1951139512927, -502.582006326159, -580.944277819352, -520.4083298631716]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.30490557703866406,1.142032908754193,0.08348910757827735,0.543391831765285,0.0,13993.718,1715.055,0.311,77210581.783,5261.849,4561.135,7.572,96000,96000,96000,96000,29.114285714285714,8.099999999999998,0.009523809523809525,0.02962239583333334,0.0,0.2,0.0005000000000000001,5.956571398153901,-0.007564039274584502,5.9812282469123605,-0.001249194045861562,0.014951776915510232,2.008313814997673,0.01
