[-0.002418985, -0.003924407530575991, 0, 0, -0.0010579869]
[-0.0036584432, -0.0013834711, -0.0018752577, 0, -0.0011379557]
[-0.00365618, -0.0028862818, -0.0018650773, -0.004272576, 0]
[0, -0.001668279, -0.002760587, -0.0044983607, -0.0010117244]
[-0.004395215, 0, -0.0011586358305066824, -0.002649627, -0.0025431346148252487]
[0, -0.0023728483356535435, -0.0040549445, 0, 0]
[0, -0.0039964817, -0.004045501, -0.002789998, 0]
[-0.0011118624, 0, 0, -0.002620768267661333, 0]
[0, 0, 0, -0.003024522, -0.002923229243606329]
[0, 0, -0.0016764868, -0.0032669352, 0]
[-0.004024582, -0.0043830825, -0.0027514424, -0.004117261, -0.0038754079]
[-0.0034335444, 0, 0, 0, 0]
[0, 0, 0, 0, 0]
[-0.002236339, -0.0020566983, 0, 0, -0.002552787773311138]
[0, 0, -0.0031297808, -0.0019920645, -0.0028774794]
[-0.004381973, -0.0036412317, -0.0038310278, 0, -0.004273698]
[-0.004322398919612169, 0, -0.0038044068, -0.002580032, 0]
[0, -0.00448126, 0, -0.0037518982, -0.0032697693]
[-0.004404507, -0.003603996243327856, 0, 0, 0]
[0, 0, 0, -0.0024629849940538406, -0.004162351]
[-0.0025743893, 0, -0.0015864577, 0, 0]
[-0.0014073648, 0, -0.0029200765, 0, 0]
[-0.002727333, -0.0036857056, -0.002968432, 0, 0]
[0, 0, 0, -0.0034936138, 0]
[0, 0, -0.0039690775, -0.0029483486, 0]
[-0.002765577, 0, -0.0038921369705349207, 0, 0]
[-0.0013281842, -0.0017712854, 0, 0, -0.002910498]
[-0.00194973, -0.0042513027, 0, 0, -0.0040594633]
[0, 0, 0, 0, 0]
[0, -0.002159459, -0.0025245026, 0, -0.0017210786]
[-0.0027234065, -0.003158876, 0, -0.002737009, 0]
[0, -0.0033417367, 0, 0, -0.0041678776]
[0, -0.0034625079, 0, 0, 0]
[-0.003133891, 0, 0, 0, -0.004003268666565418]
[0, 0, 0, -0.0036957543, -0.0021504092]
[0, 0, 0, 0, 0]
[0, 0, 0, 0, 0]
[0, 0, 0, 0, 0]
[0, 0, -0.004210318, -0.0043249386, 0]
[0, 0, 0, 0, -0.004424402]
[0, 0, -0.0041704765, 0, -0.0042553027]
[0, 0, 0, -0.002146773, -0.0036720394]
[0, 0, 0, -0.0024533772, 0]
[0, 0, 0, -0.0037501175, -0.0015397066]
[-0.0032123541, -0.00390788, 0, 0, -0.0020368847]
[0, -0.0022312682, -0.0031999417, 0, 0]
[-0.0025863587, -0.004147092, 0, -0.0041755782, 0]
[0, -0.0027028070762753487, -0.002591718, -0.003173214, -0.0020184591]
[0, -0.0037428183, -0.0026500176, -0.0025248888, 0]
[0, 0, 0, -0.0033261848, 0]
[0, -0.0013888753, -0.0022579762, -0.002811643, -0.002673826180398464]
[0, -0.0028511416, -0.0028292148, -0.0019392, 0]
[-0.0038727236, -0.003699854, -0.0026809832, -0.0011350398, 0]
[-0.0029677337, 0, 0, 0, -0.002619581]
[-0.0029401495, -0.0038930397, -0.0039891955, -0.004362644, 0]
[-0.004202995, 0, 0, -0.0036309536, 0]
[-0.0034872869, -0.0021287634, -0.0037025244, 0, -0.0009378852]
[-0.003751313, -0.002971923, -0.0027275842, 0, -0.003074799]
[0, -0.0019913522992283106, 0, 0, -0.0029418955091387033]
[0, -0.0024448428, 0, -0.0031217574, -0.0022900547]
[-0.004032807, -0.002601001, 0, -0.0017599675, -0.00230001]
[0, 0, -0.002072510775178671, 0, -0.0033551098]
[0, -0.004159611, 0, 0, -0.003703556]
[-0.0009036027, -0.002746907, 0, -0.0036719427444040775, 0]
[-0.0026149917, -0.0028732773, -0.0034875813871622086, 0, 0]
[0, -0.0014341893, 0, 0, -0.003977605]
[0, 0, -0.000907884, -0.0018032034, -0.0025589612778276205]
[-0.0032839368, -0.0014628853, -0.0031269711907953024, -0.0022157514, -0.0023237234]
[-0.0016867523, -0.0027811755426228046, 0, -0.003018486, -0.003982412]
[-0.0029216842, 0, 0, -0.0027331628, -0.0012480699]
[-0.0014645074, 0, 0, -0.0014304917, -0.0014246402]
[-0.0037316526, -0.0017218665, 0, -0.0026927963, -0.00097636064]
[0, -0.0032542101107537746, -0.0017841803, -0.0040517533, -0.0034882626]
[0, -0.0033186618, -0.0013193422, 0, 0]
[-0.0025029695, -0.0026986464, 0, -0.0013091738, 0]
[-0.0019132957, -0.0036997113, 0, 0, -0.0030067]
[-0.0019823413, -0.0012570901308208704, -0.0030653328, -0.0026677204, -0.0034425715]
[-0.0013545059, 0, -0.003514727344736457, -0.004331403, -0.002543139737099409]
[0, -0.0029945732, -0.0032726568, 0, -0.001608605]
[0, -0.0018864227, -0.0034101917, 0, -0.0017561509]
[-0.0035273598, -0.0010344358, -0.0026253706, 0, -0.001318163]
[0, -0.0036273217, -0.0035823684, -0.002302353, 0]
[0, -0.00173013, -0.003434578, 0, -0.0033601564]
[-0.0030330338, 0, 0, -0.0011508211, -0.0011672633]
[0, 0, -0.0026071498, -0.002809053, -0.004466459]
[-0.003925184, -0.0011752888, -0.002329342532902956, 0, -0.0044988333]
[-0.0035748018, -0.0009017141, -0.0028612546, -0.004394217394292355, 0]
[-0.0019092744, -0.0036829715, -0.0029714846, -0.0019274694, -0.0035709797]
[-0.0031986004, -0.0013014079, -0.003960334, -0.0026404867, -0.003557157]
[0, 0, -0.0043687173, 0, -0.0016508779]
[-0.0031506198, 0, 0, -0.0017292192, -0.0036254317965358496]
[0, -0.0021351997, -0.002638124, -0.004473482, 0]
[-0.004265023, -0.0026508346, 0, 0, -0.0016205166]
[-0.0024847842, 0, 0, 0, 0]
[-0.0022428674, -0.0021438587, -0.0030510001815855503, -0.002881426364183426, -0.0018062498]
[0, -0.002479654038324952, -0.0009372892, -0.0027865294832736254, -0.00147883]
[0, 0, -0.0014225371, -0.0042700176, -0.0015452885]
[-0.0028121253, -0.002881483, -0.0028261757, -0.0041572303, 0]
[-0.0021355932, -0.0012451428, -0.00335483, -0.002587981, 0]
[0, 0, -0.0023961777, -0.002134441, 0]
[-0.002602438209578395, 0, -0.0026307006, 0, 0]
[-0.0039214, -0.0041929213, -0.003366651013493538, -0.0038260326, 0]
[-0.001665238, -0.003058445, -0.004334879, -0.0018704041, -0.0038171043]
[0, -0.001437111, 0, 0, 0]
[-0.0038587868, 0, -0.002323896, -0.0021653452, -0.00167417]
[0, 0, -0.0034095144, 0, -0.004144656]
[0, -0.0044778506, -0.0033639492, 0, 0]
[0, 0, -0.0015225216, -0.0042521427, -0.0030139873]
[0, -0.0039417096, -0.003474379, -0.0016876814, -0.0029464255]
[-0.0023223553, -0.004497413, 0, -0.0026947812, 0]
[0, 0, -0.0037044194, 0, 0]
[0, 0, -0.004102433, 0, -0.0014695432]
[0, -0.001757881953381002, 0, 0, 0]
[0, 0, 0, 0, -0.0044661458]
[-0.004234821069985628, -0.0038955535, 0, 0, 0]
[0, -0.0012184676, -0.004264341667294502, -0.003585220780223608, -0.0015065022]
[-0.00131159, -0.0011610155, 0, -0.0032401203643530607, -0.003168444]
[0, 0, -0.003753249, 0, 0]
[0, 0, 0, -0.0020931629, 0]
[0, -0.003130295779556036, 0, 0, 0]
[0, -0.0024197386, 0, 0, 0]
[0, -0.0038579246, 0, 0, 0]
[-0.004341462, 0, 0, 0, 0]
[0, -0.0040819794, 0, 0, 0]
[-0.0018073331, -0.0027460337, 0, 0, 0]
[0, -0.0037572444, -0.0035767308, -0.0031107857, 0]
[0, 0, 0, 0, 0]
[-0.0016912142, -0.0037774341, 0, 0, 0]
[-0.0025595755, 0, -0.0040772622, -0.0043130983, 0]
[-0.0013028134, 0, 0, -0.0021529105, -0.0032594043]
[0, -0.001511606, -0.0039522643, -0.003951056860387325, 0]
[-0.0038309642113745213, 0, 0, -0.0035424125380814075, -0.004423214]
