episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-1236.5238507876536,-1254.242792128318,-1244.134659565775,960.0,5,5,38400,0,38400,False,5,1,58865_00000,cc7f1e6c419040a083b224f89cf4095f,2024-02-25_12-30-34,1708842634,14.965168952941895,14.965168952941895,14387,HPC005,10.33.1.26,14.965168952941895,0,1,"[-1248.6838481568484, -1243.9391510828882, -1237.2836556731668, -1254.242792128318, -1236.5238507876536]","[960, 960, 960, 960, 960]",0.46986858752962196,1.3227923231492056,0.12088685328456787,0.7679922399610188,0.0,12963.778,2962.099,0.555,69243883.749,2008.438,19119.334,8.235,38400,38400,38400,38400,37.08571428571428,10.166666666666666,0.14857142857142858,0.031499953497023815,0.0,0.19999999999999996,0.0005000000000000001,158.79655346117522,0.006540967390480402,158.81012725830078,-3.021484927127236e-05,0.008827098153568315,2.1880691992609123,0.01
-1069.6635274854211,-1254.242792128318,-1177.4520387845994,960.0,5,5,76800,0,76800,False,10,2,58865_00000,cc7f1e6c419040a083b224f89cf4095f,2024-02-25_12-30-48,1708842648,14.043872833251953,29.009041786193848,14387,HPC005,10.33.1.26,29.009041786193848,0,2,"[-1248.6838481568484, -1243.9391510828882, -1237.2836556731668, -1254.242792128318, -1236.5238507876536, -1126.3284356642, -1097.9282593467562, -1069.6635274854211, -1116.0964103587598, -1143.830457161982]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.46181543665859676,1.2992885326773125,0.11845457645629986,0.7540681849337668,0.0,13508.126,2842.733,0.386,99451234.085,2019.134,19018.058,7.891,76800,76800,76800,76800,30.442105263157895,10.252631578947371,0.023157894736842106,0.028080455043859653,0.0,0.19999999999999996,0.0005000000000000001,47.49234355123419,-0.0006596163699501439,47.511552835765634,-6.954999346482127e-05,0.014578920081859044,2.1465710683872827,0.01
-953.1281225033283,-1254.242792128318,-1111.8094036046668,960.0,5,5,115200,0,115200,False,15,3,58865_00000,cc7f1e6c419040a083b224f89cf4095f,2024-02-25_12-31-03,1708842663,14.685988426208496,43.695030212402344,14387,HPC005,10.33.1.26,43.695030212402344,0,3,"[-1248.6838481568484, -1243.9391510828882, -1237.2836556731668, -1254.242792128318, -1236.5238507876536, -1126.3284356642, -1097.9282593467562, -1069.6635274854211, -1116.0964103587598, -1143.830457161982, -987.703273841132, -953.1281225033283, -1008.6518286709774, -991.0651492947603, -962.072291913809]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.459989175333148,1.292520442169849,0.1178343680085547,0.7501672327279743,0.0,13890.309,2764.517,0.344,111718802.497,2041.178,18812.668,7.714,115200,115200,115200,115200,33.935,10.325000000000001,0.10149999999999999,0.02940470377604167,0.0,0.19999999999999996,0.0005000000000000001,11.863867069545545,0.005737670476695425,11.876124965517144,-0.00016471900438007556,0.014382935359447546,2.0872267735631844,0.01
-798.7425888134078,-1254.242792128318,-1041.1678496184998,960.0,5,5,153600,0,153600,False,20,4,58865_00000,cc7f1e6c419040a083b224f89cf4095f,2024-02-25_12-31-18,1708842678,14.975234270095825,58.67026448249817,14387,HPC005,10.33.1.26,58.67026448249817,0,4,"[-1248.6838481568484, -1243.9391510828882, -1237.2836556731668, -1254.242792128318, -1236.5238507876536, -1126.3284356642, -1097.9282593467562, -1069.6635274854211, -1116.0964103587598, -1143.830457161982, -987.703273841132, -953.1281225033283, -1008.6518286709774, -991.0651492947603, -962.072291913809, -834.0263192514544, -827.422085017541, -843.0842779204601, -798.7425888134078, -842.940667297128]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.4602659454653166,1.2912118171403406,0.11768183580130005,0.7500838417635898,0.0,14176.74,2708.662,0.317,120962278.333,2043.15,18794.509,7.711,153600,153600,153600,153600,35.74,10.340000000000002,0.118,0.031197102864583343,0.0,0.19999999999999996,0.0005000000000000001,5.596908177200117,0.002018596976995468,5.612458185145729,-7.397171698118512e-05,0.012306826545825874,2.0030040191976646,0.01
-653.2571608205873,-1254.242792128318,-969.8251041349541,960.0,5,5,192000,0,192000,False,25,5,58865_00000,cc7f1e6c419040a083b224f89cf4095f,2024-02-25_12-31-32,1708842692,14.147132635116577,72.81739711761475,14387,HPC005,10.33.1.26,72.81739711761475,0,5,"[-1248.6838481568484, -1243.9391510828882, -1237.2836556731668, -1254.242792128318, -1236.5238507876536, -1126.3284356642, -1097.9282593467562, -1069.6635274854211, -1116.0964103587598, -1143.830457161982, -987.703273841132, -953.1281225033283, -1008.6518286709774, -991.0651492947603, -962.072291913809, -834.0263192514544, -827.422085017541, -843.0842779204601, -798.7425888134078, -842.940667297128, -696.9286623109849, -666.3663971485472, -653.2571608205873, -680.0580656176201, -725.6603251061239]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.4598136134591658,1.2883209185763633,0.11736508037964269,0.7488863395094569,0.0,14181.229,2707.805,0.298,128807800.384,2036.794,18853.158,7.793,192000,192000,192000,192000,30.494999999999994,10.355000000000002,0.048,0.029659016927083327,0.0,0.19999999999999996,0.0005000000000000001,6.2992186609067415,-0.0038581777572337735,6.319411955381694,-1.324399521476344e-05,0.01378129913308313,1.909141126431917,0.01
-574.9413880137315,-1254.242792128318,-907.5215912422858,960.0,5,5,230400,0,230400,False,30,6,58865_00000,cc7f1e6c419040a083b224f89cf4095f,2024-02-25_12-31-47,1708842707,14.991187810897827,87.80858492851257,14387,HPC005,10.33.1.26,87.80858492851257,0,6,"[-1248.6838481568484, -1243.9391510828882, -1237.2836556731668, -1254.242792128318, -1236.5238507876536, -1126.3284356642, -1097.9282593467562, -1069.6635274854211, -1116.0964103587598, -1143.830457161982, -987.703273841132, -953.1281225033283, -1008.6518286709774, -991.0651492947603, -962.072291913809, -834.0263192514544, -827.422085017541, -843.0842779204601, -798.7425888134078, -842.940667297128, -696.9286623109849, -666.3663971485472, -653.2571608205873, -680.0580656176201, -725.6603251061239, -588.2976907272515, -615.8306942585539, -574.9413880137315, -606.8279964478699, -594.1223644473055]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.459745240531216,1.2870080244351736,0.11713143304739052,0.7480116910925834,0.0,14272.504,2690.488,0.291,131909314.988,2086.044,18408.048,7.948,230400,230400,230400,230400,35.92,10.400000000000002,0.1445,0.030303955078125,0.0,0.19999999999999996,0.0005000000000000001,5.013151899764412,-0.0012495267927940738,5.029988075557508,0.0003182621378647654,0.012423495100895372,1.8071326142863224,0.01
-418.7964044766057,-1254.242792128318,-844.2563182471322,960.0,5,5,268800,0,268800,False,35,7,58865_00000,cc7f1e6c419040a083b224f89cf4095f,2024-02-25_12-32-03,1708842723,15.612521409988403,103.42110633850098,14387,HPC005,10.33.1.26,103.42110633850098,0,7,"[-1248.6838481568484, -1243.9391510828882, -1237.2836556731668, -1254.242792128318, -1236.5238507876536, -1126.3284356642, -1097.9282593467562, -1069.6635274854211, -1116.0964103587598, -1143.830457161982, -987.703273841132, -953.1281225033283, -1008.6518286709774, -991.0651492947603, -962.072291913809, -834.0263192514544, -827.422085017541, -843.0842779204601, -798.7425888134078, -842.940667297128, -696.9286623109849, -666.3663971485472, -653.2571608205873, -680.0580656176201, -725.6603251061239, -588.2976907272515, -615.8306942585539, -574.9413880137315, -606.8279964478699, -594.1223644473055, -458.3816488282744, -469.56178207464995, -418.7964044766057, -507.97360355751687, -468.6099624440135]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.4603923388883718,1.2881443059673534,0.1171275492005315,0.7484431319558466,0.0,14497.31,2648.767,0.308,124770796.282,2091.77,18357.658,7.93,268800,268800,268800,268800,40.8,10.49047619047619,0.15571428571428572,0.031970796130952384,0.0,0.19999999999999996,0.0005000000000000001,4.206073444140585,-0.004291910035949274,4.2249934155690045,0.00013364694620433606,0.011505103142553708,1.6929102540016174,0.01
-385.64648296530027,-1254.242792128318,-790.387423051807,960.0,5,5,307200,0,307200,False,40,8,58865_00000,cc7f1e6c419040a083b224f89cf4095f,2024-02-25_12-32-17,1708842737,14.146337270736694,117.56744360923767,14387,HPC005,10.33.1.26,117.56744360923767,0,8,"[-1248.6838481568484, -1243.9391510828882, -1237.2836556731668, -1254.242792128318, -1236.5238507876536, -1126.3284356642, -1097.9282593467562, -1069.6635274854211, -1116.0964103587598, -1143.830457161982, -987.703273841132, -953.1281225033283, -1008.6518286709774, -991.0651492947603, -962.072291913809, -834.0263192514544, -827.422085017541, -843.0842779204601, -798.7425888134078, -842.940667297128, -696.9286623109849, -666.3663971485472, -653.2571608205873, -680.0580656176201, -725.6603251061239, -588.2976907272515, -615.8306942585539, -574.9413880137315, -606.8279964478699, -594.1223644473055, -458.3816488282744, -469.56178207464995, -418.7964044766057, -507.97360355751687, -468.6099624440135, -385.64648296530027, -418.0505346035444, -421.4027342570294, -412.42236029639156, -429.00367130038194]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.4606004223549989,1.2880086657516707,0.11703472814618768,0.7483222061207428,0.0,14469.529,2653.853,0.298,129068435.22,2083.016,18434.804,7.873,307200,307200,307200,307200,30.26315789473685,10.494736842105263,0.019473684210526317,0.028564453125,0.0,0.19999999999999996,0.0005000000000000001,2.1265280874151933,-0.002105987581767534,2.14350248010535,0.0006120730387537103,0.006195521225795107,1.61075170416581,0.01
-328.3002988756547,-1254.242792128318,-742.6888640735069,960.0,5,5,345600,0,345600,False,45,9,58865_00000,cc7f1e6c419040a083b224f89cf4095f,2024-02-25_12-32-31,1708842751,14.20988130569458,131.77732491493225,14387,HPC005,10.33.1.26,131.77732491493225,0,9,"[-1248.6838481568484, -1243.9391510828882, -1237.2836556731668, -1254.242792128318, -1236.5238507876536, -1126.3284356642, -1097.9282593467562, -1069.6635274854211, -1116.0964103587598, -1143.830457161982, -987.703273841132, -953.1281225033283, -1008.6518286709774, -991.0651492947603, -962.072291913809, -834.0263192514544, -827.422085017541, -843.0842779204601, -798.7425888134078, -842.940667297128, -696.9286623109849, -666.3663971485472, -653.2571608205873, -680.0580656176201, -725.6603251061239, -588.2976907272515, -615.8306942585539, -574.9413880137315, -606.8279964478699, -594.1223644473055, -458.3816488282744, -469.56178207464995, -418.7964044766057, -507.97360355751687, -468.6099624440135, -385.64648296530027, -418.0505346035444, -421.4027342570294, -412.42236029639156, -429.00367130038194, -366.9872026291212, -328.3002988756547, -373.31832036634506, -371.72127720955393, -365.174862154852]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.460561294185877,1.2873538765103019,0.116904620462456,0.7479534518170805,0.0,14443.711,2658.596,0.306,125513158.057,2075.81,18498.803,8.061,345600,345600,345600,345600,30.354999999999997,10.53,0.029500000000000005,0.028564453125,0.0,0.19999999999999996,0.0005000000000000001,1.465675286556545,0.004586095419271212,1.4757471508101414,0.0003885203286221153,0.005178435654000312,1.5693636191518683,0.01
-315.33797245036726,-1254.242792128318,-701.7647429472873,960.0,5,5,384000,0,384000,False,50,10,58865_00000,cc7f1e6c419040a083b224f89cf4095f,2024-02-25_12-32-46,1708842766,14.178470373153687,145.95579528808594,14387,HPC005,10.33.1.26,145.95579528808594,0,10,"[-1248.6838481568484, -1243.9391510828882, -1237.2836556731668, -1254.242792128318, -1236.5238507876536, -1126.3284356642, -1097.9282593467562, -1069.6635274854211, -1116.0964103587598, -1143.830457161982, -987.703273841132, -953.1281225033283, -1008.6518286709774, -991.0651492947603, -962.072291913809, -834.0263192514544, -827.422085017541, -843.0842779204601, -798.7425888134078, -842.940667297128, -696.9286623109849, -666.3663971485472, -653.2571608205873, -680.0580656176201, -725.6603251061239, -588.2976907272515, -615.8306942585539, -574.9413880137315, -606.8279964478699, -594.1223644473055, -458.3816488282744, -469.56178207464995, -418.7964044766057, -507.97360355751687, -468.6099624440135, -385.64648296530027, -418.0505346035444, -421.4027342570294, -412.42236029639156, -429.00367130038194, -366.9872026291212, -328.3002988756547, -373.31832036634506, -371.72127720955393, -365.174862154852, -328.3455246976867, -343.49340107023727, -336.0100709334274, -344.051294904846, -315.33797245036726]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.4603882374923404,1.2864191249838999,0.11676887732776507,0.7474023176834744,0.0,14420.549,2662.867,0.297,129262659.39,2069.922,18551.424,8.124,384000,384000,384000,384000,30.178947368421056,10.568421052631578,0.015789473684210527,0.028564453125,0.0,0.19999999999999996,0.0005000000000000001,1.0062183055438494,0.0063630761088509305,1.0141279862115258,-0.004468655115679691,0.005483344957491154,1.536944927353608,0.01
