episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,5,20000,0,20000,False,0,1,5b52b_00000,a866316dfdb947d2ab867a1240bc300a,2023-12-16_12-14-33,1702707273,9.472126483917236,9.472126483917236,35569,HPC005,10.33.1.26,9.472126483917236,0,1,[],[],8486.298,2356.74,0.695,28797143.838,992.419,20152.788,7.5,20000,20000,20000,20000,31.623076923076926,20.323076923076925,0.03692307692307692,0.016438802083333336,0.0,0.2,0.0005,108.96073913574219,-0.00047669753502077583,108.9831314086914,-1.6629695892333984e-05,0.00030049553262516404,2.1968905925750732,0.01
-776.2104047811908,-799.9309662198092,-789.0920844987597,960.0,5,5,40000,0,40000,False,5,2,5b52b_00000,a866316dfdb947d2ab867a1240bc300a,2023-12-16_12-14-43,1702707283,10.119593143463135,19.59171962738037,35569,HPC005,10.33.1.26,19.59171962738037,0,2,"[-792.4276380634492, -799.9309662198092, -797.4023668595621, -776.2104047811908, -779.4890465697874]","[960, 960, 960, 960, 960]",9323.027,2145.226,0.47,42581766.497,986.186,20280.152,7.543,40000,40000,40000,40000,35.82142857142858,21.614285714285717,0.08,0.016438802083333336,0.0,0.1,0.0005,85.1524543762207,-0.0006369461206716664,85.17500305175781,-0.0002967715263366699,0.0003000902084178414,2.1933573484420776,0.01
-694.4880173591667,-799.9309662198092,-760.5781770824165,960.0,5,5,60000,0,60000,False,10,3,5b52b_00000,a866316dfdb947d2ab867a1240bc300a,2023-12-16_12-14-53,1702707293,9.630140781402588,29.22186040878296,35569,HPC005,10.33.1.26,29.22186040878296,0,3,"[-792.4276380634492, -799.9309662198092, -797.4023668595621, -776.2104047811908, -779.4890465697874, -749.2335179334315, -737.0920123868765, -694.4880173591667, -738.8772614825548, -740.6305391683363]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",9428.18,2121.3,0.385,51888296.907,989.064,20221.136,7.8,60000,60000,60000,60000,31.430769230769222,21.992307692307694,0.01846153846153846,0.016438802083333336,0.0,0.05,0.0005,67.5599365234375,-0.0008328865234741301,67.58259201049805,0.0004012882709503174,0.0004288292248136871,2.184171438217163,0.01
-639.6486102155069,-799.9309662198092,-731.9324590976395,960.0,5,5,80000,0,80000,False,15,4,5b52b_00000,a866316dfdb947d2ab867a1240bc300a,2023-12-16_12-15-02,1702707302,9.450840950012207,38.672701358795166,35569,HPC005,10.33.1.26,38.672701358795166,0,4,"[-792.4276380634492, -799.9309662198092, -797.4023668595621, -776.2104047811908, -779.4890465697874, -749.2335179334315, -737.0920123868765, -694.4880173591667, -738.8772614825548, -740.6305391683363, -669.8479771645787, -698.8230288438879, -666.6709548749758, -698.2145445414785, -639.6486102155069]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",9436.398,2119.453,0.35,57211307.758,993.94,20121.947,7.977,80000,80000,80000,80000,30.253846153846155,22.23076923076923,0.01153846153846154,0.016438802083333336,0.0,0.025,0.0005,62.68548774719238,-0.000529703909717405,62.70766639709473,0.00017219781875610352,0.0005369363935519011,2.1660971641540527,0.01
-602.0219918276034,-799.9309662198092,-703.5857973470477,960.0,5,5,100000,0,100000,False,20,5,5b52b_00000,a866316dfdb947d2ab867a1240bc300a,2023-12-16_12-15-12,1702707312,9.485510110855103,48.15821146965027,35569,HPC005,10.33.1.26,48.15821146965027,0,5,"[-792.4276380634492, -799.9309662198092, -797.4023668595621, -776.2104047811908, -779.4890465697874, -749.2335179334315, -737.0920123868765, -694.4880173591667, -738.8772614825548, -740.6305391683363, -669.8479771645787, -698.8230288438879, -666.6709548749758, -698.2145445414785, -639.6486102155069, -619.3355831919444, -608.5132121536969, -629.6421325540581, -602.0219918276034, -633.2161407490582]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",9457.557,2114.711,0.324,61762685.908,990.474,20192.362,8.072,100000,100000,100000,100000,30.200000000000003,22.661538461538463,0.006153846153846154,0.016438802083333336,0.0,0.0125,0.0005,50.254804611206055,-0.0007134979531180363,50.27689170837402,-0.0004673004150390625,0.0006053087440248683,2.1378508806228638,0.01
-554.8953131794527,-799.9309662198092,-676.1064573214992,960.0,5,5,120000,0,120000,False,25,6,5b52b_00000,a866316dfdb947d2ab867a1240bc300a,2023-12-16_12-15-21,1702707321,9.424871444702148,57.58308291435242,35569,HPC005,10.33.1.26,57.58308291435242,0,6,"[-792.4276380634492, -799.9309662198092, -797.4023668595621, -776.2104047811908, -779.4890465697874, -749.2335179334315, -737.0920123868765, -694.4880173591667, -738.8772614825548, -740.6305391683363, -669.8479771645787, -698.8230288438879, -666.6709548749758, -698.2145445414785, -639.6486102155069, -619.3355831919444, -608.5132121536969, -629.6421325540581, -602.0219918276034, -633.2161407490582, -570.6297926181021, -554.8953131794527, -567.9012567978497, -557.0362210726076, -580.4829024285128]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",9456.631,2114.918,0.306,65348802.908,987.723,20248.586,7.984,120000,120000,120000,120000,29.84166666666667,22.741666666666664,0.005,0.016438802083333336,0.0,0.00625,0.0005,47.938472747802734,-0.0010168528012926004,47.96046447753906,0.0003490149974822998,0.0007010530718382091,2.0980653762817383,0.01
-554.8953131794527,-799.9309662198092,-676.1064573214992,960.0,0,5,140000,0,140000,False,25,7,5b52b_00000,a866316dfdb947d2ab867a1240bc300a,2023-12-16_12-15-31,1702707331,9.66830039024353,67.25138330459595,35569,HPC005,10.33.1.26,67.25138330459595,0,7,"[-792.4276380634492, -799.9309662198092, -797.4023668595621, -776.2104047811908, -779.4890465697874, -749.2335179334315, -737.0920123868765, -694.4880173591667, -738.8772614825548, -740.6305391683363, -669.8479771645787, -698.8230288438879, -666.6709548749758, -698.2145445414785, -639.6486102155069, -619.3355831919444, -608.5132121536969, -629.6421325540581, -602.0219918276034, -633.2161407490582, -570.6297926181021, -554.8953131794527, -567.9012567978497, -557.0362210726076, -580.4829024285128]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",9478.098,2110.128,0.295,67837634.011,997.794,20044.227,8.006,140000,140000,140000,140000,30.999999999999996,22.784615384615385,0.026153846153846156,0.01659530248397436,0.0,0.003125,0.0005,36.53263473510742,-0.0013610531160601624,36.55443572998047,-0.00020557641983032227,0.0008306968477280186,2.044062376022339,0.01
-441.6308957981312,-799.9309662198092,-642.6941720171219,960.0,5,5,160000,0,160000,False,30,8,5b52b_00000,a866316dfdb947d2ab867a1240bc300a,2023-12-16_12-15-41,1702707341,10.203175067901611,77.45455837249756,35569,HPC005,10.33.1.26,77.45455837249756,0,8,"[-792.4276380634492, -799.9309662198092, -797.4023668595621, -776.2104047811908, -779.4890465697874, -749.2335179334315, -737.0920123868765, -694.4880173591667, -738.8772614825548, -740.6305391683363, -669.8479771645787, -698.8230288438879, -666.6709548749758, -698.2145445414785, -639.6486102155069, -619.3355831919444, -608.5132121536969, -629.6421325540581, -602.0219918276034, -633.2161407490582, -570.6297926181021, -554.8953131794527, -567.9012567978497, -557.0362210726076, -580.4829024285128, -441.6308957981312, -480.45659099383073, -495.6366080292875, -487.61533067660565, -472.82430197832144]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",9578.263,2088.061,0.286,69992557.363,997.886,20042.379,8.196,160000,160000,160000,160000,37.41428571428571,22.8,0.05642857142857143,0.01746186755952381,0.0,0.0015625,0.0005,21.84433937072754,-0.0014784389913096163,21.865554809570312,-0.0005948543548583984,0.0009177199932692837,1.973879337310791,0.01
-387.75721200526544,-799.9309662198092,-608.5056887081126,960.0,5,5,180000,0,180000,False,35,9,5b52b_00000,a866316dfdb947d2ab867a1240bc300a,2023-12-16_12-15-51,1702707351,10.44191861152649,87.89647698402405,35569,HPC005,10.33.1.26,87.89647698402405,0,9,"[-792.4276380634492, -799.9309662198092, -797.4023668595621, -776.2104047811908, -779.4890465697874, -749.2335179334315, -737.0920123868765, -694.4880173591667, -738.8772614825548, -740.6305391683363, -669.8479771645787, -698.8230288438879, -666.6709548749758, -698.2145445414785, -639.6486102155069, -619.3355831919444, -608.5132121536969, -629.6421325540581, -602.0219918276034, -633.2161407490582, -570.6297926181021, -554.8953131794527, -567.9012567978497, -557.0362210726076, -580.4829024285128, -441.6308957981312, -480.45659099383073, -495.6366080292875, -487.61533067660565, -472.82430197832144, -394.9075164234257, -387.75721200526544, -435.23711010013193, -399.983573056761, -398.9885326847018]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",9674.084,2067.379,0.278,71847613.247,1001.081,19978.411,8.192,180000,180000,180000,180000,38.114285714285714,22.857142857142858,0.05714285714285715,0.018037341889880952,0.0,0.00078125,0.0005,15.712410926818848,-0.000986918240599266,15.732314586639404,0.0002925097942352295,0.0008670293576757103,1.8917335271835327,0.01
-339.26851353468413,-799.9309662198092,-577.2137377844281,960.0,5,5,200000,0,200000,False,40,10,5b52b_00000,a866316dfdb947d2ab867a1240bc300a,2023-12-16_12-16-01,1702707361,9.911728858947754,97.8082058429718,35569,HPC005,10.33.1.26,97.8082058429718,0,10,"[-792.4276380634492, -799.9309662198092, -797.4023668595621, -776.2104047811908, -779.4890465697874, -749.2335179334315, -737.0920123868765, -694.4880173591667, -738.8772614825548, -740.6305391683363, -669.8479771645787, -698.8230288438879, -666.6709548749758, -698.2145445414785, -639.6486102155069, -619.3355831919444, -608.5132121536969, -629.6421325540581, -602.0219918276034, -633.2161407490582, -570.6297926181021, -554.8953131794527, -567.9012567978497, -557.0362210726076, -580.4829024285128, -441.6308957981312, -480.45659099383073, -495.6366080292875, -487.61533067660565, -472.82430197832144, -394.9075164234257, -387.75721200526544, -435.23711010013193, -399.983573056761, -398.9885326847018, -368.90821670426334, -339.26851353468413, -342.3598499036431, -376.6276752187334, -363.68615123185805]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",9700.97,2061.649,0.291,68624083.77,1002.721,19945.731,8.221,200000,200000,200000,200000,32.97692307692308,22.9,0.03538461538461538,0.016682942708333336,0.0,0.000390625,0.0005,12.144335746765137,-0.0011413112951448312,12.163540840148926,-5.072355270385742e-05,0.0007275525120772897,1.8064410090446472,0.01
