episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-751.7356841950002,-797.5151673021832,-774.2963821745576,960.0,5,5,24000,0,24000,False,5,1,80349_00000,66cbe29b0656463b9f6861be2512b50c,2024-02-25_11-12-53,1708837973,11.503429412841797,11.503429412841797,5026,HPC005,10.33.1.26,11.503429412841797,0,1,"[-793.47323369379, -771.3031237288476, -751.7356841950002, -757.4547019529668, -797.5151673021832]","[960, 960, 960, 960, 960]",0.32221281069498525,1.2046007658514841,0.09040132893732013,0.5718305629448388,0.0,10588.132,2266.689,0.562,42708229.105,928.331,25852.857,7.295,24000,24000,24000,24000,34.99375,6.6375,0.11812500000000001,0.027231852213541668,0.0,0.2,0.0005,217.29931640625,-0.0038123723352327943,217.32430839538574,8.396804332733154e-05,0.003808559907774064,2.19321271777153,0.01
-669.1903086351645,-797.5151673021832,-733.7498910784758,960.0,5,5,48000,0,48000,False,10,2,80349_00000,66cbe29b0656463b9f6861be2512b50c,2024-02-25_11-13-05,1708837985,11.7107675075531,23.214196920394897,5026,HPC005,10.33.1.26,23.214196920394897,0,2,"[-793.47323369379, -771.3031237288476, -751.7356841950002, -757.4547019529668, -797.5151673021832, -682.212313089777, -696.4216675044207, -684.2745965105114, -733.9181141720974, -669.1903086351645]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.323097221899706,1.2104572657921602,0.09071768784413996,0.572971759568678,0.0,11133.602,2155.637,0.466,51542906.298,957.164,25074.075,8.642,48000,48000,48000,48000,37.618750000000006,6.8,0.1275,0.026484171549479168,0.0,0.1,0.0005,165.0613250732422,0.028070439992006868,165.0543155670166,0.0001231953501701355,0.006083332939996293,2.1673492193222046,0.01
-565.6511312498875,-797.5151673021832,-681.9635277826438,960.0,5,5,72000,0,72000,False,15,3,80349_00000,66cbe29b0656463b9f6861be2512b50c,2024-02-25_11-13-17,1708837997,12.113044023513794,35.32724094390869,5026,HPC005,10.33.1.26,35.32724094390869,0,3,"[-793.47323369379, -771.3031237288476, -751.7356841950002, -757.4547019529668, -797.5151673021832, -682.212313089777, -696.4216675044207, -684.2745965105114, -733.9181141720974, -669.1903086351645, -575.2152368982923, -577.1727882147289, -565.6511312498875, -582.5532387685944, -591.3616108233957]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.3254616202409015,1.2192548702379777,0.09136225733523798,0.5756064319597004,0.0,11476.661,2091.201,0.448,53582308.02,959.264,25019.18,8.341,72000,72000,72000,72000,38.682352941176475,6.870588235294117,0.10176470588235295,0.02710678998161765,0.0,0.1,0.0005,99.2025842666626,-0.011422970681451261,99.2340145111084,1.2822449207305908e-05,0.009145534286684229,2.0924091935157776,0.01
-448.38240832537633,-797.5151673021832,-630.0454813731794,960.0,5,5,96000,0,96000,False,20,4,80349_00000,66cbe29b0656463b9f6861be2512b50c,2024-02-25_11-13-28,1708838008,11.493428230285645,46.820669174194336,5026,HPC005,10.33.1.26,46.820669174194336,0,4,"[-793.47323369379, -771.3031237288476, -751.7356841950002, -757.4547019529668, -797.5151673021832, -682.212313089777, -696.4216675044207, -684.2745965105114, -733.9181141720974, -669.1903086351645, -575.2152368982923, -577.1727882147289, -565.6511312498875, -582.5532387685944, -591.3616108233957, -466.2914481313822, -448.38240832537633, -462.87298002265544, -520.6580154819169, -473.2518587626008]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.3262681095481355,1.221807662998708,0.0915358082830934,0.5759817042504446,0.0,11493.4,2088.155,0.391,61436250.229,952.796,25189.018,8.699,96000,96000,96000,96000,33.526666666666664,6.846666666666666,0.06533333333333334,0.0263671875,0.0,0.1,0.0005,55.97060537338257,0.006142148282378912,55.983657360076904,-3.6522746086120605e-05,0.006972493992682564,1.988873466849327,0.01
-352.9699585271688,-797.5151673021832,-579.4364804062891,960.0,5,5,120000,0,120000,False,25,5,80349_00000,66cbe29b0656463b9f6861be2512b50c,2024-02-25_11-13-41,1708838021,12.172477960586548,58.993147134780884,5026,HPC005,10.33.1.26,58.993147134780884,0,5,"[-793.47323369379, -771.3031237288476, -751.7356841950002, -757.4547019529668, -797.5151673021832, -682.212313089777, -696.4216675044207, -684.2745965105114, -733.9181141720974, -669.1903086351645, -575.2152368982923, -577.1727882147289, -565.6511312498875, -582.5532387685944, -591.3616108233957, -466.2914481313822, -448.38240832537633, -462.87298002265544, -520.6580154819169, -473.2518587626008, -358.1127164803311, -385.20546918936753, -352.9699585271688, -401.3098025414893, -387.40443595528313]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.3271315083406519,1.2255502822719284,0.09193057937506388,0.5773797161145781,0.0,11633.134,2063.073,0.355,67622797.259,949.784,25268.895,8.522,120000,120000,120000,120000,39.49411764705882,6.911764705882353,0.05941176470588234,0.027824850643382356,0.0,0.1,0.0005,26.423532962799072,-0.02041490003466606,26.46206498146057,3.069639205932617e-06,0.005986511348837181,1.8714253157377243,0.01
-258.09197356233176,-797.5151673021832,-531.9143041483242,960.0,5,5,144000,0,144000,False,30,6,80349_00000,66cbe29b0656463b9f6861be2512b50c,2024-02-25_11-13-53,1708838033,11.883285522460938,70.87643265724182,5026,HPC005,10.33.1.26,70.87643265724182,0,6,"[-793.47323369379, -771.3031237288476, -751.7356841950002, -757.4547019529668, -797.5151673021832, -682.212313089777, -696.4216675044207, -684.2745965105114, -733.9181141720974, -669.1903086351645, -575.2152368982923, -577.1727882147289, -565.6511312498875, -582.5532387685944, -591.3616108233957, -466.2914481313822, -448.38240832537633, -462.87298002265544, -520.6580154819169, -473.2518587626008, -358.1127164803311, -385.20546918936753, -352.9699585271688, -401.3098025414893, -387.40443595528313, -336.01929772442384, -290.96694840135655, -282.5210995300721, -303.91779507431244, -258.09197356233176]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.327735792498643,1.228509645960055,0.09218861982987157,0.5782865318597123,0.0,11677.719,2055.196,0.404,59335865.606,948.395,25305.914,8.662,144000,144000,144000,144000,37.425000000000004,6.9625,0.12687500000000002,0.028706868489583332,0.0,0.1,0.0005,11.292012333869934,0.0938628576695919,11.214727997779846,-8.534640073776245e-05,0.00700193375635999,1.7278609871864319,0.01
-176.09429080485023,-797.5151673021832,-484.9615144135492,960.0,5,5,168000,0,168000,False,35,7,80349_00000,66cbe29b0656463b9f6861be2512b50c,2024-02-25_11-14-04,1708838044,11.605762720108032,82.48219537734985,5026,HPC005,10.33.1.26,82.48219537734985,0,7,"[-793.47323369379, -771.3031237288476, -751.7356841950002, -757.4547019529668, -797.5151673021832, -682.212313089777, -696.4216675044207, -684.2745965105114, -733.9181141720974, -669.1903086351645, -575.2152368982923, -577.1727882147289, -565.6511312498875, -582.5532387685944, -591.3616108233957, -466.2914481313822, -448.38240832537633, -462.87298002265544, -520.6580154819169, -473.2518587626008, -358.1127164803311, -385.20546918936753, -352.9699585271688, -401.3098025414893, -387.40443595528313, -336.01929772442384, -290.96694840135655, -282.5210995300721, -303.91779507431244, -258.09197356233176, -195.10773075394047, -176.09429080485023, -230.00532754517738, -192.1252249055092, -222.89130601501577]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.3280777382213445,1.2302176103383466,0.0923191337778225,0.578672696062399,0.0,11672.937,2056.038,0.378,63544329.696,946.942,25344.74,8.546,168000,168000,168000,168000,33.2,7.01875,0.060000000000000005,0.028432210286458332,0.0,0.1,0.0005,1.5646768435835838,-0.05294780433177948,1.632989227771759,-0.0001589357852935791,0.004164209866798996,1.5781022608280182,0.01
-169.01316262843926,-797.5151673021832,-446.50863905848473,960.0,5,5,192000,0,192000,False,40,8,80349_00000,66cbe29b0656463b9f6861be2512b50c,2024-02-25_11-14-16,1708838056,11.659496784210205,94.14169216156006,5026,HPC005,10.33.1.26,94.14169216156006,0,8,"[-793.47323369379, -771.3031237288476, -751.7356841950002, -757.4547019529668, -797.5151673021832, -682.212313089777, -696.4216675044207, -684.2745965105114, -733.9181141720974, -669.1903086351645, -575.2152368982923, -577.1727882147289, -565.6511312498875, -582.5532387685944, -591.3616108233957, -466.2914481313822, -448.38240832537633, -462.87298002265544, -520.6580154819169, -473.2518587626008, -358.1127164803311, -385.20546918936753, -352.9699585271688, -401.3098025414893, -387.40443595528313, -336.01929772442384, -290.96694840135655, -282.5210995300721, -303.91779507431244, -258.09197356233176, -195.10773075394047, -176.09429080485023, -230.00532754517738, -192.1252249055092, -222.89130601501577, -184.63941111681825, -174.47642848351626, -185.13437547423032, -169.01316262843926, -173.42918016216726]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.3282771149071664,1.2313962375509595,0.0923952553449928,0.5788642363594392,0.0,11677.172,2055.292,0.357,67164834.696,942.799,25456.119,8.415,192000,192000,192000,192000,35.75333333333334,6.966666666666667,0.07533333333333332,0.028857421875,0.0,0.05,0.0005,0.6807636171579361,0.02565257903188467,0.6700526997447014,-0.00013265758752822876,0.000847248133168943,1.4984036087989807,0.01
-169.01316262843926,-797.5151673021832,-416.2197475181872,960.0,5,5,216000,0,216000,False,45,9,80349_00000,66cbe29b0656463b9f6861be2512b50c,2024-02-25_11-14-28,1708838068,11.751148700714111,105.89284086227417,5026,HPC005,10.33.1.26,105.89284086227417,0,9,"[-793.47323369379, -771.3031237288476, -751.7356841950002, -757.4547019529668, -797.5151673021832, -682.212313089777, -696.4216675044207, -684.2745965105114, -733.9181141720974, -669.1903086351645, -575.2152368982923, -577.1727882147289, -565.6511312498875, -582.5532387685944, -591.3616108233957, -466.2914481313822, -448.38240832537633, -462.87298002265544, -520.6580154819169, -473.2518587626008, -358.1127164803311, -385.20546918936753, -352.9699585271688, -401.3098025414893, -387.40443595528313, -336.01929772442384, -290.96694840135655, -282.5210995300721, -303.91779507431244, -258.09197356233176, -195.10773075394047, -176.09429080485023, -230.00532754517738, -192.1252249055092, -222.89130601501577, -184.63941111681825, -174.47642848351626, -185.13437547423032, -169.01316262843926, -173.42918016216726, -179.23736463692987, -169.68774411871144, -176.2272308242192, -170.02407298838492, -174.36666341079047]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.32840309119692224,1.2323228676313334,0.09245516128521811,0.5790323883327878,0.0,11686.13,2053.717,0.342,70143207.185,941.405,25493.815,8.328,216000,216000,216000,216000,36.1375,7.0,0.050625,0.028765360514322914,0.0,0.025,0.0005,0.5595641322433949,0.006321560736978427,0.5681489482522011,-0.000248737633228302,0.001240301386844167,1.493735820055008,0.01
-169.01316262843926,-797.5151673021832,-392.3905625805651,960.0,5,5,240000,0,240000,False,50,10,80349_00000,66cbe29b0656463b9f6861be2512b50c,2024-02-25_11-14-40,1708838080,12.148544549942017,118.04138541221619,5026,HPC005,10.33.1.26,118.04138541221619,0,10,"[-793.47323369379, -771.3031237288476, -751.7356841950002, -757.4547019529668, -797.5151673021832, -682.212313089777, -696.4216675044207, -684.2745965105114, -733.9181141720974, -669.1903086351645, -575.2152368982923, -577.1727882147289, -565.6511312498875, -582.5532387685944, -591.3616108233957, -466.2914481313822, -448.38240832537633, -462.87298002265544, -520.6580154819169, -473.2518587626008, -358.1127164803311, -385.20546918936753, -352.9699585271688, -401.3098025414893, -387.40443595528313, -336.01929772442384, -290.96694840135655, -282.5210995300721, -303.91779507431244, -258.09197356233176, -195.10773075394047, -176.09429080485023, -230.00532754517738, -192.1252249055092, -222.89130601501577, -184.63941111681825, -174.47642848351626, -185.13437547423032, -169.01316262843926, -173.42918016216726, -179.23736463692987, -169.68774411871144, -176.2272308242192, -170.02407298838492, -174.36666341079047, -172.3228492046571, -183.63294484595494, -173.777434882081, -190.40755585164243, -169.4987059254957]","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]",0.32869201286296734,1.233470713719981,0.09252230962215799,0.5793496533638907,0.0,11734.031,2045.333,0.342,70143750.261,941.017,25504.32,8.368,240000,240000,240000,240000,39.364705882352936,7.088235294117646,0.09882352941176471,0.02854051776960784,0.0,0.0125,0.0005,0.6586872823536396,0.0533828204497695,0.6202048659324646,-0.0003143325448036194,0.0009005534048964758,1.491164192557335,0.01
